,Item,Receipts,Inv_Adj,Aftr_adj_Qty,Cost,Sales_Qty,year,month
185,Pyle Pro PSTND18,4.0,0.0,4.0,60.0,0.0,2019,8
186,Pyramid MDC-7,8.0,-2.0,6.0,60.0,0.0,2019,8
187,Radio Systems ADA-2x8SS,3.0,0.0,3.0,1188.0,0.0,2019,8
188,RapcoHorizon EXMN-100,22.0,0.0,22.0,672.1,0.0,2019,8
189,RapcoHorizon EXMN-20,65.0,0.0,65.0,759.85,0.0,2019,8
190,RapcoHorizon EXMN-25,13.0,0.0,13.0,156.91,0.0,2019,8
191,RapcoHorizon EXMN-50,7.0,0.0,7.0,116.27,0.0,2019,8
192,RapcoHorizon HDSDI-10,10.0,0.0,10.0,207.10000000000002,0.0,2019,8
193,RapcoHorizon HDSDI-25,10.0,0.0,10.0,322.2,0.0,2019,8
194,RapcoHorizon HDSDI-6,10.0,0.0,10.0,371.4,0.0,2019,8
195,RapcoHorizon SMM-10,15.0,0.0,15.0,82.64999999999999,0.0,2019,8
196,RapcoHorizon SMM-100,22.0,0.0,22.0,691.9,0.0,2019,8
197,RapcoHorizon SMM-20,8.0,0.0,8.0,70.16,0.0,2019,8
198,RapcoHorizon SMM-25,30.0,0.0,30.0,307.5,0.0,2019,8
199,RapcoHorizon SMM-3,31.0,0.0,31.0,111.91,0.0,2019,8
200,RapcoHorizon SMM-50,16.0,0.0,16.0,285.44,0.0,2019,8
201,Siemons 66B3-50,55.0,-25.0,30.0,840.0,0.0,2019,8
202,StudioHub ADAPT-XLRFS,12.0,0.0,12.0,134.39999999999998,0.0,2019,8
203,StudioHub ADAPT-XLRMS,27.0,0.0,27.0,302.4,0.0,2019,8
204,StudioHub PS-WWBLACK (do not use),19.0,0.0,19.0,456.0,0.0,2019,8
205,StudioHub SH-MOON,20.0,0.0,20.0,1200.0,0.0,2019,8
206,StudioHub SH-PATCH1PK,15.0,0.0,15.0,262.5,0.0,2019,8
207,StudioHub SH-PATCH2PK,18.0,0.0,18.0,352.8,0.0,2019,8
208,StudioHub SH-PATCH3PK,10.0,0.0,10.0,224.0,0.0,2019,8
209,ART ARTS8-3WAY,2.0,0.0,2.0,369.0,0.0,2019,8
210,ART CleanBoxPro,2.0,0.0,2.0,71.2,0.0,2019,8
211,ART EQ355,2.0,0.0,2.0,247.2,0.0,2019,8
212,ART PROCHANNELII,2.0,0.0,2.0,438.9,0.0,2019,8
213,ART ProMix,2.0,0.0,2.0,111.2,0.0,2019,8
214,ART SLA2,4.0,0.0,4.0,958.0,0.0,2019,8
215,ART TRANSX,1.0,0.0,1.0,290.95,0.0,2019,8
216,ART TRANSY,1.0,0.0,1.0,290.95,0.0,2019,8
217,Altronic Research TC-1,6.0,0.0,6.0,465.36,0.0,2019,8
218,Aphex Systems 120B,2.0,0.0,2.0,558.0,0.0,2019,8
219,Aphex Systems 124B,2.0,0.0,2.0,450.0,0.0,2019,8
220,Aphex Systems 141B,1.0,0.0,1.0,279.0,0.0,2019,8
221,Aphex Systems 320D Compellor,0.0,1.0,1.0,1025.0,0.0,2019,8
222,Aphex Systems Aural Exciter,3.0,-1.0,2.0,478.0,0.0,2019,8
223,Aphex Systems Channel,10.0,0.0,10.0,6990.0,0.0,2019,8
224,Aphex Systems Headpod 4,6.0,0.0,6.0,1020.0,0.0,2019,8
225,AudioScience ASI5744,0.0,-1.0,-1.0,0.0,0.0,2019,8
226,AudioScience CBL1044,0.0,6.0,6.0,225.0,0.0,2019,8
227,Klark Teknik 76-KT,2.0,0.0,2.0,560.0,0.0,2019,8
228,Klark Teknik KT-2A,2.0,0.0,2.0,560.0,0.0,2019,8
229,MXL MXL-BCD-STAND,1.0,0.0,1.0,50.0,0.0,2019,8
230,Monoprice Blackbird HDMI Extender,34.0,0.0,34.0,1305.26,0.0,2019,8
231,Myat 101-050,1.0,0.0,1.0,172.5,0.0,2019,8
232,Myat 201-009,2.0,0.0,2.0,97.5,0.0,2019,8
233,Myat 201-012,7.0,0.0,7.0,52.5,0.0,2019,8
234,Myat 201-019,26.0,0.0,26.0,1170.0,0.0,2019,8
235,Myat 201-023,5.0,0.0,5.0,1800.0,0.0,2019,8
236,Myat 201-042-11,3.0,0.0,3.0,270.0,0.0,2019,8
237,Myat 201-042-25,1.0,0.0,1.0,71.25,0.0,2019,8
238,Myat 201-058-2,1.0,0.0,1.0,315.0,0.0,2019,8
239,Myat 201-138-3,1.0,0.0,1.0,975.0,0.0,2019,8
240,Myat 201-138-4,5.0,0.0,5.0,3500.0,0.0,2019,8
241,Myat 301-012,21.0,0.0,21.0,189.0,0.0,2019,8
242,Myat 301-018,77.0,0.0,77.0,3349.5,0.0,2019,8
243,Myat 301-019,4.0,0.0,4.0,204.0,0.0,2019,8
244,Myat 301-042-3,7.0,0.0,7.0,761.25,0.0,2019,8
245,Myat 301-064,0.0,2.0,2.0,594.0,0.0,2019,8
246,Myat 301-065,1.0,0.0,1.0,262.5,0.0,2019,8
247,Neutrik 103F,12.0,0.0,12.0,78.12,0.0,2019,8
248,Neutrik 103M,2.0,0.0,2.0,12.84,0.0,2019,8
249,Neutrik NA2MP-UW,9.0,0.0,9.0,63.63,0.0,2019,8
250,Neutrik NA4LJX,2.0,0.0,2.0,11.7,0.0,2019,8
251,Neutrik NC3FEZY-B,23.0,0.0,23.0,0.23,0.0,2019,8
252,Neutrik NC3FP-1,69.0,0.0,69.0,167.67000000000002,0.0,2019,8
253,Neutrik NC3FP-BAG-1,11.0,0.0,11.0,28.380000000000003,0.0,2019,8
254,Neutrik NC3FX-B,89.0,0.0,89.0,310.61,0.0,2019,8
255,Neutrik NC3FX-BAG,89.0,0.0,89.0,253.65,0.0,2019,8
256,Neutrik NC3FXX,184.0,0.0,184.0,406.64,0.0,2019,8
257,Neutrik NC3FXX-BAG-D,100.0,0.0,100.0,244.0,0.0,2019,8
258,Neutrik NC3FXX-HA,2.0,0.0,2.0,4.66,0.0,2019,8
259,Neutrik NC3MB4,46.0,0.0,46.0,0.46,0.0,2019,8
260,Neutrik NC3MD-L-B-1,60.0,0.0,60.0,166.79999999999998,0.0,2019,8
261,Neutrik NC3MEZY-B,5.0,0.0,5.0,0.05,0.0,2019,8
262,Neutrik NC3MEZY-NI,8.0,0.0,8.0,0.08,0.0,2019,8
263,Neutrik NC3MP-BAG,207.0,0.0,207.0,503.01000000000005,0.0,2019,8
264,Neutrik NC3MX-BAG,92.0,0.0,92.0,242.88000000000002,0.0,2019,8
265,Neutrik NC3MX-D,32.0,0.0,32.0,66.56,0.0,2019,8
266,Neutrik NC3MXX,237.0,0.0,237.0,471.63,0.0,2019,8
267,Neutrik NC3MXX-HA,65.0,0.0,65.0,133.9,0.0,2019,8
268,Neutrik NC4MP-BAG,26.0,0.0,26.0,78.25999999999999,0.0,2019,8
269,Neutrik NC5FP-1-BAG,36.0,0.0,36.0,209.88,0.0,2019,8
270,Neutrik NC5MP-BAG,9.0,0.0,9.0,43.83,0.0,2019,8
271,Neutrik NC6FX,10.0,0.0,10.0,56.5,0.0,2019,8
272,Neutrik NC6MP-BAG,3.0,0.0,3.0,19.59,0.0,2019,8
273,Neutrik NCFDM3-L-1,84.0,0.0,84.0,202.44,0.0,2019,8
274,Neutrik NCJ6FIS,3.0,0.0,3.0,6.84,0.0,2019,8
275,Neutrik NCMEZ-B,98.0,0.0,98.0,166.6,0.0,2019,8
276,Neutrik NL4FC,93.0,0.0,93.0,426.87,0.0,2019,8
277,Neutrik NL4MPR,16.0,0.0,16.0,33.92,0.0,2019,8
278,Neutrik NP2C,48.0,0.0,48.0,122.88,0.0,2019,8
279,Neutrik NP2X,39.0,0.0,39.0,94.77000000000001,0.0,2019,8
280,Neutrik NP3X,154.0,0.0,154.0,552.86,0.0,2019,8
281,Neutrik NP3X-B,50.0,0.0,50.0,224.5,0.0,2019,8
282,Neutrik NYS321L,12.0,0.0,12.0,8.76,0.0,2019,8
283,Neutrik NYS373-0,108.0,0.0,108.0,143.64000000000001,0.0,2019,8
284,Neutrik SCDF,50.0,0.0,50.0,32.0,0.0,2019,8
285,Neutrik W13MB (M-HOUSING),40.0,0.0,40.0,0.4,0.0,2019,8
286,Nicom STL SYSTEM,5.0,-1.0,4.0,11960.0,0.0,2019,8
287,Nicom TSL910B,1.0,0.0,1.0,1590.0,0.0,2019,8
288,Nixer NIX00522,2.0,-1.0,1.0,1709.89,0.0,2019,8
289,Numark CDN450,1.0,0.0,1.0,0.01,0.0,2019,8
290,OC White 11426-B,13.0,0.0,13.0,219.7,0.0,2019,8
291,OC White 11427,1.0,0.0,1.0,16.9,0.0,2019,8
292,OC White 11427-B,11.0,0.0,11.0,185.89999999999998,0.0,2019,8
293,OC White 13080-1,1.0,0.0,1.0,0.01,0.0,2019,8
294,OC White 13088,5.0,0.0,5.0,0.05,0.0,2019,8
295,OC White 14100-B,3.0,0.0,3.0,78.0,0.0,2019,8
296,OC White 14111-B,2.0,0.0,2.0,128.7,0.0,2019,8
297,OC White 14192,12.0,0.0,12.0,1474.1999999999998,0.0,2019,8
298,OC White 14192-B,10.0,0.0,10.0,1228.5,0.0,2019,8
299,OC White 14194-C-B,2.0,0.0,2.0,206.7,0.0,2019,8
300,OC White 14198-R-B,2.0,0.0,2.0,180.7,0.0,2019,8
301,OC White 14199-B,5.0,0.0,5.0,581.75,0.0,2019,8
302,OC White 14199-BG,11.0,0.0,11.0,1494.35,0.0,2019,8
303,OC White 14199-R,6.0,0.0,6.0,854.0999999999999,0.0,2019,8
304,OC White 14295-BG,2.0,0.0,2.0,219.7,0.0,2019,8
305,OC White 14295-C-B,2.0,0.0,2.0,206.7,0.0,2019,8
306,OC White 16200,3.0,0.0,3.0,4.86,0.0,2019,8
307,OC White 51900,0.0,2.0,2.0,232.7,0.0,2019,8
308,OC White 51900-B,19.0,0.0,19.0,2210.65,0.0,2019,8
309,OC White 61900-3BG,1.0,0.0,1.0,340.6,0.0,2019,8
310,OC White 61900-B,9.0,0.0,9.0,1281.1499999999999,0.0,2019,8
311,OC White 61900-BG,0.0,1.0,1.0,161.85,0.0,2019,8
312,OC White MB,6.0,0.0,6.0,253.5,0.0,2019,8
313,OC White PMB-1,5.0,-4.0,1.0,35.75,0.0,2019,8
314,OC White PMB-2,0.0,4.0,4.0,143.0,0.0,2019,8
315,Omnia Audio Omnia VOLT Audio Processor for FM,1.0,-1.0,0.0,0.0,0.0,2019,8
316,Omnia Audio Omnia.11 FM (Non-HD) Multi-Band Audio Processor,6.0,-1.0,5.0,47231.25,0.0,2019,8
317,Omnia Audio Omnia.7FM Multi-Band FM Audio Processor (Selectable FM or HD+Streaming),4.0,0.0,4.0,25180.0,0.0,2019,8
318,Omnia Audio Omnia.9 Multi-Band FM/AM Audio Processor,1.0,0.0,1.0,10995.0,0.0,2019,8
319,Omnia Z/IPStream R/2 with Omnia.9 Processing (Four Streams),1.0,-1.0,0.0,0.0,0.0,2019,8
320,Omnia Z/IPStream R/2 with Omnia.9 Processing (Six Streams),1.0,-1.0,0.0,0.0,0.0,2019,8
321,Omnimount 25.0 C SPEAKER MOUNT,4.0,0.0,4.0,151.72,0.0,2019,8
322,Omnimount 25.0 W SPEAKER MOUNT,14.0,0.0,14.0,526.96,0.0,2019,8
323,Orban 5500i,0.0,-1.0,-1.0,-2992.5,0.0,2019,8
324,PCM Cable PCM-KW-13,272.0,0.0,272.0,1169.6,0.0,2019,8
325,PCM Cable PCM-KW-14,421.0,0.0,421.0,905.15,0.0,2019,8
326,PCM Cable PCM-KW-15,277.0,0.0,277.0,1191.1,0.0,2019,8
327,PCM Cable PCM-KW-18,256.0,0.0,256.0,1100.8,0.0,2019,8
328,Peavey 14XT Compression Driver,42.0,-41.0,1.0,42.0,0.0,2019,8
329,Peavey 89TF,1.0,0.0,1.0,0.01,0.0,2019,8
330,Peavey AmpKit LiNK II,4.0,0.0,4.0,79.96,0.0,2019,8
331,Peavey Audio Performer Pack,1.0,0.0,1.0,352.0,0.0,2019,8
332,Peavey Ecoustic Amp Footswitch pedal controller,1.0,0.0,1.0,0.01,0.0,2019,8
333,Peavey IPR 2 5000 USED,1.0,0.0,1.0,600.0,0.0,2019,8
334,Peavey PFC 3,2.0,0.0,2.0,0.02,0.0,2019,8
